Country,"Cost per GB, excl conn (US$ PPP)",Country Code
Turkey,"12,424.50",TUR
Singapore,"10,546.26",SGP
Turkey,"8,697.15",TUR
Turkey,"6,833.48",TUR
Haiti,"3,263.38",HTI
Algeria,"2,703.40",DZA
Mexico,"1,976.90",MEX
Mexico,"1,864.30",MEX
Haiti,"1,631.69",HTI
Sudan,"1,274.29",SDN
Haiti,"1,223.77",HTI
Benin,896.34,BEN
Haiti,815.84,HTI
Ecuador,788.35,ECU
Czech Republic,731.86,CZE
Pakistan,688.71,PAK
Ecuador,657.4,ECU
"Taiwan, China",652.56,TWN
Mexico,497.98,MEX
Pakistan,495.87,PAK
Ecuador,493.21,ECU
Senegal,476.71,SEN
Benin,437.67,BEN
"Taiwan, China",435.04,TWN
Canada,414.7,CAN
Honduras,388.17,HND
Honduras,388.17,HND
Honduras,363.91,HND
China,317.85,CHN
China,308.07,CHN
China,303.18,CHN
China,293.4,CHN
China,293.4,CHN
Honduras,291.13,HND
"Taiwan, China",290.03,TWN
South Africa,287.28,ZAF
Mexico,286.53,MEX
China,281.17,CHN
China,281.17,CHN
Pakistan,275.49,PAK
China,268.95,CHN
China,268.95,CHN
Benin,218.83,BEN
Benin,218.83,BEN
Benin,218.83,BEN
Netherlands,194.36,NLD
South Africa,191.52,ZAF
Bulgaria,191.43,BGR
Mozambique,190.6,MOZ
Peru,189.97,PER
Niger,189.62,NER
Tajikistan,189.26,TJK
"Hong Kong, China",185.37,HKG
Jordan,184.41,JOR
Nigeria,178.6,NGA
South Africa,172.37,ZAF
South Africa,172.37,ZAF
Canada,165.88,CAN
"Taiwan, China",163.14,TWN
Mozambique,159.97,MOZ
Malawi,159.93,MWI
Malawi,159.93,MWI
Malawi,159.93,MWI
South Africa,159.6,ZAF
India,156.21,IND
Hungary,153.19,HUN
Bulgaria,150.79,BGR
Kyrgyzstan,148.61,KGZ
Ecuador,148.06,ECU
United Arab Emirates,146.26,ARE
United Arab Emirates,146.26,ARE
Thailand,145.99,THA
Sierra Leone,145.98,SLE
Mali,141.66,MLI
Dominican Rep.,140.42,DOM
Dominican Rep.,140.42,DOM
Pakistan,137.74,PAK
Honduras,137.41,HND
Honduras,135.38,HND
Tajikistan,135.38,TJK
Kyrgyzstan,133.75,KGZ
Tajikistan,131.43,TJK
Ukraine,128.12,UKR
Malawi,127.94,MWI
Germany,127.47,DEU
Chile,126.88,CHL
Peru,126.65,PER
Peru,126.65,PER
Niger,126.41,NER
Papua New Guinea,125.33,PNG
Papua New Guinea,125.33,PNG
South Africa,125.13,ZAF
Sierra Leone,121.65,SLE
Sierra Leone,121.65,SLE
Netherlands,121.48,NLD
Kyrgyzstan,118.89,KGZ
Belgium,118.16,BEL
Belgium,117.93,BEL
Malawi,114.24,MWI
Malawi,114.24,MWI
Malawi,114.24,MWI
Spain,114.14,ESP
Honduras,113.72,HND
Venezuela,112.81,VEN
Brazil,112.77,BRA
Venezuela,112.62,VEN
Lao P.D.R.,111.95,LAO
Nigeria,111.62,NGA
Nigeria,111.62,NGA
Nigeria,111.62,NGA
Nigeria,111.62,NGA
Tanzania,111.04,TZA
Benin,109.42,BEN
Zambia,107.81,ZMB
Saudi Arabia,107.54,SAU
Saudi Arabia,107.54,SAU
Chad,106.92,TCD
Mozambique,106.86,MOZ
Madagascar,105.01,MDG
Bangladesh,103.11,BGD
United States,102.4,USA
Algeria,101.96,DZA
Venezuela,101.36,VEN
Peru,101.32,PER
Bulgaria,100.53,BGR
Chad,100.23,TCD
Papua New Guinea,99.69,PNG
Turkey,99.4,TUR
Kyrgyzstan,99.07,KGZ
Papua New Guinea,99.01,PNG
Singapore,98.56,SGP
Jordan,98.35,JOR
Haiti,97.9,HTI
Mexico,97.59,MEX
Sierra Leone,97.32,SLE
Sierra Leone,97.32,SLE
Sierra Leone,97.32,SLE
Sierra Leone,97.32,SLE
Malaysia,96.9,MYS
Iraq,96.61,IRQ
Zambia,95.84,ZMB
South Africa,95.12,ZAF
South Africa,93.85,ZAF
Papua New Guinea,93.37,PNG
Nigeria,93.02,NGA
Pakistan,91.83,PAK
Ukraine,89.68,UKR
Lao P.D.R.,89.56,LAO
Turkey,89.46,TUR
Turkey,89.46,TUR
Mali,88.54,MLI
Uzbekistan,87.7,UZB
Czech Republic,87.67,CZE
Benin,87.53,BEN
Thailand,87.01,THA
Netherlands,86.77,NLD
Zambia,86.25,ZMB
Bangladesh,85.93,BGD
Nigeria,85.86,NGA
Nepal,85.63,NPL
Korea (South),84.86,KOR
United Arab Emirates,84.83,ARE
Canada,82.94,CAN
Canada,82.94,CAN
Canada,82.94,CAN
Canada,82.94,CAN
Canada,82.94,CAN
Philippines,82.2,PHL
Thailand,81.75,THA
Philippines,81.38,PHL
Philippines,81.38,PHL
Philippines,81.38,PHL
Mexico,81.33,MEX
Cameroon,81.26,CMR
Cameroon,81.26,CMR
Saudi Arabia,80.66,SAU
Saudi Arabia,80.66,SAU
Niger,80.06,NER
Cote d'Ivoire,79.36,CIV
Mexico,79.24,MEX
Peru,79.15,PER
Tunisia,79.15,TUN
Ecuador,78.93,ECU
Ecuador,78.77,ECU
Madagascar,78.76,MDG
Hungary,78.56,HUN
China,78.24,CHN
Papua New Guinea,78.02,PNG
Egypt,77.73,EGY
Indonesia,77.14,IDN
Thailand,77.08,THA
China,77.02,CHN
Mozambique,76.97,MOZ
Slovak Republic,76.96,SVK
Ukraine,76.87,UKR
Ukraine,76.87,UKR
Ukraine,76.87,UKR
Ukraine,76.87,UKR
Lao P.D.R.,76.76,LAO
South Africa,76.61,ZAF
China,76.28,CHN
Chile,76.25,CHL
Niger,76.13,NER
Peru,75.99,PER
Peru,75.99,PER
South Africa,75.84,ZAF
Honduras,75.82,HND
Malaysia,75.37,MYS
China,74.98,CHN
Nigeria,74.41,NGA
