Country,"Cost per GB, excl conn (US$ PPP)",Country Code
"Canada",5.706105488,CAN
"Cambodia",2.255745717,KHM
"Slovak Republic",3.431743303,SVK
"Argentina",1.64,ARG
"Bolivia",2.973415001,BOL
"Cameroon",19.40255429,CMR
"Burkina Faso",7.813655931,BFA
"Ghana",6.988388775,GHA
"Saudi Arabia",5.960657927,SAU
"Jordan",1.418034897,JOR
"Guatemala",2.883451685,GTM
"China",4.724904356,CHN
"Spain",5.037492997,ESP
"Netherlands",4.221050585,NLD
"Tanzania",6.808724467,TZA
"Yemen",1.777079076,YEM
"Pakistan",1.500803349,PAK
"Ethiopia",25.39548991,ETH
"United Arab Emirates",5.402053672,ARE
"Viet Nam",6.907533862,VNM
"Azerbaijan",2.241620979,AZE
"Kenya",2.157890522,KEN
"Tajikistan",8.949054167,TJK
"Turkey",3.769104872,TUR
"Afghanistan",7.677082271,AFG
"Bangladesh",3.118484508,BGD
"India",2.82282671,IND
"France",1.455272772,FRA
"Rwanda",2.274329175,RWA
"Peru",11.82042789,PER
"Austria",1.403796747,AUT
"Cote d'Ivoire",2.463871842,CIV
"Benin",12.16884737,BEN
"Singapore",0.2492852,SGP
"Korea (South)",0.605083358,KOR
"Togo",17.63814867,TGO
"Taiwan, China",5.09421475,TWN
"Ukraine",1.188417514,UKR
"Finland",1.065567336,FIN
"Libya",82.5344,LBY
"Dominican Rep.",3.094202665,DOM
"Indonesia",0.913312181,IDN
"United States",6.4,USA
"Sweden",0.344980686,SWE
"Belarus",0.665584519,BLR
"Mali",22.48255941,MLI
"Russia",0.233215214,RUS
"Bulgaria",3.013868513,BGR
"Romania",0.301476902,ROM
"Angola",6.197010987,AGO
"Portugal",6.596262187,PRT
"South Africa",9.037144458,ZAF
"Malaysia",5.256690024,MYS
"Senegal",6.938260903,SEN
"Mozambique",10.47003467,MOZ
"Uganda",8.735781595,UGA
"Hungary",2.332875585,HUN
"Niger",7.824232396,NER
"Brazil",4.226410921,BRA
"Nigeria",9.367813788,NGA
"Ecuador",10.73314991,ECU
"Czech Republic",2.109999679,CZE
"Australia",3.859280262,AUS
"Algeria",25.64606438,DZA
"El Salvador",2.767219013,SLV
"Chile",5.925841338,CHL
"Belgium",7.069971681,BEL
"Thailand",8.962099828,THA
"Haiti",3.735497581,HTI
"Iraq",7.770643622,IRQ
"Sierra Leone",26.20682354,SLE
"Denmark",0.051572571,DNK
"Philippines",6.619284935,PHL
"Morocco",1.250621029,MAR
"Switzerland",2.159337055,CHE
"Chad",40.39542341,TCD
"Uzbekistan",15.19519547,UZB
"Tunisia",3.001493115,TUN
"Colombia",6.452374004,COL
"Nicaragua",4.843566756,NIC
"Madagascar",5.880111561,MDG
"Italy",1.932094796,ITA
"Sudan",2.295430813,SDN
"Nepal",0,NPL
"Lao P.D.R.",1.633368807,LAO
"Venezuela",15.18597399,VEN
"Israel",2.520027313,ISR
"Zambia",8.894313044,ZMB
"Iran (Islamic Rep. of)",118.1260145,IRN
"Papua New Guinea",52.20329874,PNG
"Malawi",26.28670632,MWI
"Zimbabwe",20.48,ZWE
"Germany",2.953612664,DEU
"Kazakhstan",0.567322321,KAZ
"Poland",0.687627672,POL
"Kyrgyzstan",8.216742348,KGZ
"Sri Lanka",1.936380284,LKA
"Japan",7.784664011,JPN
"Syria",6.96165118,SYR
"Hong Kong, China",5.461188485,HKG
"Honduras",3.662094478,HND
"Mexico",7.385822624,MEX
"Egypt",4.235414219,EGY
"Serbia",1.032579817,SRB
"United Kingdom",0.968089881,GBR
"Greece",2.205084621,GRC
"Paraguay",1.07762699,PRY
