Country	Country Code	2013 Cost/GB ($US PPP)	2014 Cost/GB ($US PPP)	$ Change	% Change	Note
Tunisia	TUN	$3.09	$3.00	-$0.09	-3%	
Turkey	TUR	$4.73	$3.77	-$0.96	-20%	
Uganda	UGA	$11.29	$8.74	-$2.55	-23%	
Ukraine	UKR	$1.86	$1.19	-$0.67	-36%	
United Arab Emirates	ARE	$5.71	$5.40	-$0.31	-5%	
United Kingdom	GBR	$1.57	$0.97	-$0.60	-38%	
United States	USA	$6.50	$6.40	-$0.10	-2%	
Uzbekistan	UZB	$9.21	$15.20	$5.99	65%	
Venezuela	VEN	$17.19	$15.19	-$2.00	-12%	
Viet Nam	VNM	$5.81	$6.91	$1.10	19%	
Yemen	YEM	$4.73	$1.78	-$2.95	-62%	
Zambia	ZMB	$9.34	$8.89	-$0.45	-5%	
Zimbabwe	ZWE		$20.48	N/A	N/A	NO 2013 DATA
