Country,"Cost per GB, excl conn (US$ PPP)",Country Code
Ecuador,72.58520023,ECU
Ukraine,72.49346833,UKR
Zambia,72.23334031,ZMB
Papua New Guinea,72.0080048,PNG
Czech Republic,71.92839164,CZE
Egypt,71.72652967,EGY
South Africa,70.67746379,ZAF
Burkina Faso,70.66930842,BFA
Israel,70.62830079,ISR
Niger,70.6036975,NER
Egypt,70.13260678,EGY
Afghanistan,69.6622372,AFG
Mali,69.13354246,MLI
Mali,69.13354246,MLI
Nigeria,68.8763923,NGA
Mali,68.79794274,MLI
Mali,68.79794274,MLI
Zambia,68.42902402,ZMB
Saudi Arabia,68.03097581,SAU
Saudi Arabia,67.8190413,SAU
Saudi Arabia,67.80208654,SAU
Madagascar,67.05078117,MDG
Madagascar,67.05078117,MDG
Mexico,66.98713308,MEX
Tanzania,66.97548692,TZA
Nigeria,66.88478578,NGA
Ecuador,66.64255225,ECU
Mexico,66.49354368,MEX
Poland,66.41678841,POL
Mexico,66.34076601,MEX
Nepal,66.14208516,NPL
Dominican Rep.,66.07038332,DOM
Venezuela,66.03805606,VEN
Kyrgyzstan,65.173851,KGZ
Ecuador,64.98103639,ECU
Uzbekistan,64.83283403,UZB
Kyrgyzstan,64.52211249,KGZ
Sierra Leone,64.40588954,SLE
Mozambique,64.32789299,MOZ
Kyrgyzstan,63.9888719,KGZ
Papua New Guinea,63.91358331,PNG
Thailand,63.80620706,THA
Saudi Arabia,63.58035122,SAU
Kyrgyzstan,63.31174098,KGZ
Venezuela,62.8743857,VEN
Mali,62.84867496,MLI
Venezuela,62.70337649,VEN
Kyrgyzstan,62.34965079,KGZ
Ghana,61.82384541,GHA
Netherlands,61.72835818,NLD
Czech Republic,61.56661429,CZE
Peru,61.49424973,PER
United States,61.44,USA
United States,61.39904,USA
Mexico,61.16982942,MEX
"Taiwan, China",61.1576859,TWN
Uzbekistan,60.7807819,UZB
Uzbekistan,60.7807819,UZB
Uzbekistan,60.7807819,UZB
Ecuador,60.57862575,ECU
Belgium,60.36018842,BEL
Papua New Guinea,60.33735698,PNG
Bulgaria,60.27737025,BGR
Bulgaria,60.10214534,BGR
Czech Republic,60.03325711,CZE
Madagascar,60.01230138,MDG
Peru,60.0029341,PER
Uganda,59.93254573,UGA
